OrderID,Date,Region,Product,Category,Quantity,Price,Sales
1001,2023-01-05,North,Laptop,Electronics,2,55000,110000
1002,2023-01-07,South,Mobile,Electronics,3,20000,60000
1003,2023-01-10,East,Headphones,Electronics,5,2000,10000
1004,2023-01-12,West,Chair,Furniture,4,3500,14000
1005,2023-01-15,North,Table,Furniture,2,8000,16000
1006,2023-01-18,South,Laptop,Electronics,1,55000,55000
1007,2023-01-20,East,Mobile,Electronics,2,21000,42000
1008,2023-01-22,West,Printer,Electronics,1,15000,15000
1009,2023-01-25,North,Desk,Furniture,1,12000,12000
1010,2023-01-28,South,Monitor,Electronics,2,10000,20000
